id,activity,optimistic,most_likely,pessimistic,predecessors,min_duration,crash_cost,resource_demand
A,,1,4,5,,3,300,2
B,,4,7,8,,5,500,1
C,,1,5,10,,5,600,3
D,,5,8,11,A,6,400,1
E,,2,5,10,"B,A, C",5,300,4
F,,1,5,6,"D,E",4,500,4
G,,3,7,8,F,5,600,4
H,,2,4,5,F,4,300,5
I,,4,7,11,"G,H",7,450,5
J,,3,8,12,I,6,300,5
K,,5,8,9,I,7,600,6
L,,5,10,14,I,8,900,6
M,,5,6,8,"K, J, L",5,600,7
N,,2,5,8,M,4,300,7
O,,4,9,12,M,7,250,7
P,,5,6,9,O,5,300,8
Q,,3,5,9,N,4,700,8
R,,4,6,11,"P, Q",5,650,9
S,,5,9,13,R,8,100,9
T,,2,6,8,S,5,300,9
U,,3,6,10,S,5,250,10
V,,5,6,11,S,4,420,10
W,,4,5,10,"U,V, T",3,600,11
X,,4,5,8,W,4,300,11
Y,,5,8,12,X,7,800,11
Z,,2,6,7,Y,5,600,12
