budget,total_benefit,total_cost,num_projects,utilization
1500000.0,550000,1500000,2,100.0
1833333.3333333333,670000,1700000,2,92.72727272727273
2166666.6666666665,810000,2100000,3,96.92307692307693
2500000.0,950000,2500000,3,100.0
2833333.333333333,1080000,2800000,3,98.82352941176472
3166666.6666666665,1180000,3100000,3,97.89473684210527
3500000.0,1320000,3500000,4,100.0
3833333.333333333,1440000,3800000,5,99.1304347826087
4166666.6666666665,1530000,4000000,4,96.00000000000001
4500000.0,1710000,4500000,5,100.0
